Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
"[0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1
 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1
 1 1 1 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 1 0]",0.9714076246334311,0.9668621700879765,0.0014216069963097727,"[0 1 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0
 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 0 1 1 0 1 0
 1 1 0 1 1 0 1 0 0 1 1 0 0 0 1 1 1 0 0 1 1]",0.9648093841642229
"[1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 1 0 1 0 0
 0 0 1 1 0 0 1 1 0 0 0 1 1 1 1 0 0 1 0 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0
 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1]",0.9714076246334311,0.9666422287390029,0.0023699750550212023,"[1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0
 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 0
 0 1 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1]",0.9626099706744868
"[0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 0 1 0 0
 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0
 0 1 1 0 0 0 1 0 1 1 0 1 1 1 1 0 0 1 1 1 0]",0.9706744868035191,0.9664222873900293,0.001934150433764356,"[0 1 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0
 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0 1 0
 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1]",0.9626099706744868
"[0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1 0 1 0
 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 0 0 1 1 0 0 0
 0 1 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 0 0]",0.9706744868035191,0.9667888563049856,0.0017973094827171924,"[0 0 0 1 1 0 0 0 1 1 0 0 1 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0
 1 1 1 1 0 0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 1 1 0 0 0 1 0 1 1
 1 1 0 1 1 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1]",0.9640762463343109
"[1 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1
 0 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 1 1 0
 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 1 0 1]",0.9721407624633431,0.9667888563049853,0.002519478046545391,"[0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0
 1 1 0 1 0 1 0 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 0
 1 0 1 0 1 0 1 0 1 1 1 0 0 1 1 0 1 1 0 0 1]",0.9633431085043989
"[1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 1 0 1
 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1
 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0]",0.9728739002932552,0.9669354838709678,0.002570168349407344,"[1 1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 0 1 0 1 1 1
 1 0 1 0 1 1 0 1 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0
 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0]",0.9626099706744868
"[0 1 0 1 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0
 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0
 1 0 1 0 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 1]",0.9714076246334311,0.9666422287390031,0.0020800969148256736,"[1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 0 0
 0 1 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 0 1 0 1 0 0 1
 1 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1]",0.9640762463343109
"[0 1 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 0 0 1 0
 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 1
 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 0 1 0 0]",0.9714076246334311,0.9678885630498535,0.001565553995899018,"[1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1
 1 0 0 0 1 0 0 1 1 1 0 0 0 1 1 1 0 1 0 1 1]",0.9648093841642229
"[1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 0 0
 0 0 0 1 1 1 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 1 0 1
 0 1 0 1 0 0 1 0 0 0 1 1 0 1 1 0 1 0 1 0 0]",0.9699413489736071,0.9659824046920822,0.0029178517217202907,"[0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 0 1
 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 1
 0 1 0 0 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0]",0.9611436950146628
"[0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1 1 0 1 0 0
 1 1 0 1 0 1 1 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1
 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1]",0.9714076246334311,0.9663856304985339,0.0019015707257101064,"[0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 0 0 0 1
 0 1 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 1 1
 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1]",0.9626099706744868
