Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
10,0.1,0.6,"[0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1 1 1
 1 0 1 1 0 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0
 0 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 0 1 1 0 0]",0.9625,0.959,0.0037416573867739417,"[1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0
 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 1 0 0
 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1]",0.9525
10,0.1,0.75,"[1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0
 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1
 1 0 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0]",0.9625,0.9542499999999998,0.004337337893224371,"[1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0
 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 1
 0 1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0]",0.9475
10,0.1,0.9,"[1 1 0 0 1 1 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1
 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0
 1 1 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 1]",0.9625,0.9577500000000001,0.002610076627227636,"[0 0 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0
 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 0
 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0]",0.9525
10,0.15,0.6,"[0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 1 1
 0 0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1
 1 1 0 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1]",0.965,0.9585000000000001,0.0022912878474779267,"[0 1 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0
 1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0
 1 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1]",0.955
10,0.15,0.75,"[0 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0
 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 0
 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 1]",0.965,0.9585000000000001,0.003000000000000019,"[1 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 0
 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 0 0 1
 1 1 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 1]",0.955
10,0.15,0.9,"[1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0 1
 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1
 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0]",0.9625,0.9557499999999999,0.0019525624189766716,"[0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1
 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1
 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 0 0]",0.9525
10,0.2,0.6,"[0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0
 0 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 1 0 0 1
 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0]",0.9625,0.9557499999999999,0.00274999999999999,"[1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0
 1 1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1
 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 1 0]",0.9525
10,0.2,0.75,"[1 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1
 0 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0
 0 1 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0]",0.9625,0.9572500000000002,0.002839454172900134,"[1 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1
 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0 0
 1 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0]",0.9525
10,0.2,0.9,"[1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 1
 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1
 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0]",0.965,0.9564999999999999,0.0025495097567963857,"[1 1 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1
 1 0 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 1
 1 1 0 1 1 0 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0]",0.9525
20,0.1,0.6,"[1 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 1 0 1 0 0 1
 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1
 1 1 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0]",0.9625,0.9552499999999998,0.0031523800532296284,"[1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0
 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0]",0.95
