Population Size,Mutation Rate,Crossover Rate,Best Chromosome,Best Fitness,Mean Fitness,Std Fitness,Worst Chromosome,Worst Fitness
10,0.1,0.6,"[0 0 1 1 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1 1 0 1 1 1 1 0 1 0 1 0 0 0 1 1 1
 1 0 1 1 0 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0
 0 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 0 1 1 0 0]",0.9625,0.959,0.0037416573867739,"[1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0
 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 0 1 1 0 0
 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1]",0.9525
10,0.1,0.75,"[1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0
 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1
 1 0 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0]",0.9625,0.9542499999999998,0.0043373378932243,"[1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0
 0 0 0 1 1 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 1 0 0 1 0 0 1 1
 0 1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0]",0.9475
10,0.1,0.9,"[1 1 0 0 1 1 1 0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1
 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0 0
 1 1 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0 1]",0.9625,0.95775,0.0026100766272276,"[0 0 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 0 1 1 0
 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 1 0
 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0]",0.9525
10,0.15,0.6,"[0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 1 1
 0 0 1 0 1 1 1 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1
 1 1 0 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1]",0.965,0.9585,0.0022912878474779,"[0 1 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0
 1 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0
 1 1 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1]",0.955
10,0.15,0.75,"[0 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 1 1 0
 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 0
 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 1]",0.965,0.9585,0.003,"[1 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 0
 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 0 0 1
 1 1 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 1 1 1]",0.955
10,0.15,0.9,"[1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0 1
 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1
 0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0]",0.9625,0.95575,0.0019525624189766,"[0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1
 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1
 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 0 0]",0.9525
10,0.2,0.6,"[0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0
 0 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1 1 1 0 0 1 0 0 1
 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 0]",0.9625,0.95575,0.0027499999999999,"[1 1 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0
 1 1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1
 1 0 1 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 1 0]",0.9525
10,0.2,0.75,"[1 1 0 1 0 1 0 0 1 1 1 0 0 1 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1
 0 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0
 0 1 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0 0]",0.9625,0.9572500000000002,0.0028394541729001,"[1 1 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1
 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 0 0
 1 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0]",0.9525
10,0.2,0.9,"[1 0 0 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 1
 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1
 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0]",0.965,0.9565,0.0025495097567963,"[1 1 0 1 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1
 1 0 1 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 1
 1 1 0 1 1 0 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0]",0.9525
20,0.1,0.6,"[1 1 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 1 0 1 0 0 1
 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 1 1
 1 1 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 0]",0.9625,0.9552499999999998,0.0031523800532296,"[1 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0
 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0]",0.95
